Sıra: 1 | Çift: 2 | Tek: 1
Sıra: 2 | Çift: 4 | Tek: 3
Sıra: 3 | Çift: 6 | Tek: 5
Sıra: 4 | Çift: 8 | Tek: 7
Sıra: 5 | Çift: 10 | Tek: 9
Sıra: 6 | Çift: 12 | Tek: 11
Sıra: 7 | Çift: 14 | Tek: 13
Sıra: 8 | Çift: 16 | Tek: 15
Sıra: 9 | Çift: 18 | Tek: 17
Sıra: 10 | Çift: 20 | Tek: 19
Sıra: 11 | Çift: 22 | Tek: 21
Sıra: 12 | Çift: 24 | Tek: 23
Sıra: 13 | Çift: 26 | Tek: 25
Sıra: 14 | Çift: 28 | Tek: 27
Sıra: 15 | Çift: 30 | Tek: 29
Sıra: 16 | Çift: 32 | Tek: 31
Sıra: 17 | Çift: 34 | Tek: 33
Sıra: 18 | Çift: 36 | Tek: 35
Sıra: 19 | Çift: 38 | Tek: 37
Sıra: 20 | Çift: 40 | Tek: 39
Sıra: 21 | Çift: 42 | Tek: 41
Sıra: 22 | Çift: 44 | Tek: 43
Sıra: 23 | Çift: 46 | Tek: 45
Sıra: 24 | Çift: 48 | Tek: 47
Sıra: 25 | Çift: 50 | Tek: 49
Sıra: 26 | Çift: 52 | Tek: 51
Sıra: 27 | Çift: 54 | Tek: 53
Sıra: 28 | Çift: 56 | Tek: 55
Sıra: 29 | Çift: 58 | Tek: 57
Sıra: 30 | Çift: 60 | Tek: 59
Sıra: 31 | Çift: 62 | Tek: 61
Sıra: 32 | Çift: 64 | Tek: 63
Sıra: 33 | Çift: 66 | Tek: 65
Sıra: 34 | Çift: 68 | Tek: 67
Sıra: 35 | Çift: 70 | Tek: 69
Sıra: 36 | Çift: 72 | Tek: 71
Sıra: 37 | Çift: 74 | Tek: 73
Sıra: 38 | Çift: 76 | Tek: 75
Sıra: 39 | Çift: 78 | Tek: 77
Sıra: 40 | Çift: 80 | Tek: 79
Sıra: 41 | Çift: 82 | Tek: 81
Sıra: 42 | Çift: 84 | Tek: 83
Sıra: 43 | Çift: 86 | Tek: 85
Sıra: 44 | Çift: 88 | Tek: 87
Sıra: 45 | Çift: 90 | Tek: 89
Sıra: 46 | Çift: 92 | Tek: 91
Sıra: 47 | Çift: 94 | Tek: 93
Sıra: 48 | Çift: 96 | Tek: 95
Sıra: 49 | Çift: 98 | Tek: 97
Sıra: 50 | Çift: 100 | Tek: 99
Sıra: 51 | Çift: 102 | Tek: 101
Sıra: 52 | Çift: 104 | Tek: 103
